customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0793,Kaitlin Brown,34504.59,18,30,1916.92
CUST0895,Elizabeth Chaney,33282.14,21,543,1584.86
CUST0030,William Jackson,32674.35,18,89,1815.24
CUST0818,Edwin Smith,30233.92,16,283,1889.62
CUST0647,Carlos Martinez,30210.84,15,427,2014.06
CUST0863,Paul Roberts,30179.9,19,344,1588.42
CUST0306,Jennifer Banks,29927.0,19,600,1575.11
CUST0493,Cheryl Martinez,29806.43,17,694,1753.32
CUST0192,Carlos Mckinney,29515.02,13,268,2270.39
CUST0301,Jill Nguyen,29432.22,14,576,2102.3
CUST0934,William Baird,29393.45,14,940,2099.53
CUST0181,Shannon Thompson,29286.31,20,341,1464.32
CUST0685,Anna Taylor,29142.16,17,956,1714.24
CUST0952,Jason Nelson,29090.4,16,773,1818.15
CUST0035,Zoe Anderson,29077.76,19,403,1530.41
CUST0840,Amanda Taylor,28998.12,16,994,1812.38
CUST0371,Christopher Myers,28446.26,17,1056,1673.31
CUST0725,Shane Crosby,28411.57,17,712,1671.27
CUST0463,Jason Johnson,28226.69,12,978,2352.22
CUST0023,Kenneth Lowe,27981.93,17,20,1646.0
CUST0323,Louis Ray,27870.88,15,647,1858.06
CUST0957,Matthew Henry,27808.97,22,642,1264.04
CUST0907,Joel Smith,27664.83,15,187,1844.32
CUST0906,Danielle Stewart,27595.24,13,56,2122.71
CUST0272,Cody Mathews,27480.58,17,831,1616.5
CUST0268,Mary Garrett,27259.26,14,837,1947.09
CUST0248,Brittany Acevedo,27161.18,14,204,1940.08
CUST0202,Jay Peterson,26987.63,14,850,1927.69
CUST0334,Jeffrey Hodges,26715.52,15,286,1781.03
CUST0019,Kristi Silva,26693.74,16,736,1668.36
CUST0655,Alejandro Martinez,26570.96,16,911,1660.69
CUST0473,Brandon Humphrey,26570.4,14,1068,1897.89
CUST0915,Julie Howard,26530.97,16,94,1658.19
CUST0641,David Rivera,26456.58,17,664,1556.27
CUST0845,Richard Ford,26423.0,18,975,1467.94
CUST0867,Courtney Henry,26411.22,16,1076,1650.7
CUST0496,Matthew Nunez,26222.47,19,444,1380.13
CUST0170,Robert Cooper,26159.29,15,226,1743.95
CUST0910,Daniel Jackson,26048.6,16,377,1628.04
CUST0448,Keith Goodman,25719.0,15,402,1714.6
CUST0382,Billy Estrada,25608.02,15,97,1707.2
CUST0031,Peter Williams,25605.92,14,268,1828.99
CUST0401,Ryan Serrano,25461.26,16,692,1591.33
CUST0098,Randall Herrera,25435.22,12,289,2119.6
CUST0494,Alexis Mendoza,25429.9,11,500,2311.81
CUST0415,Erika Cook,25290.97,19,1081,1331.1
CUST0663,Melissa Reyes,25133.17,12,988,2094.43
CUST0326,Jacob Mitchell,25101.2,15,82,1673.41
CUST0154,Angela Hale,25073.46,14,968,1790.96
CUST0215,Jill Jones,25028.73,16,636,1564.3
CUST0644,Julie Wright,24997.59,14,819,1785.54
CUST0471,Jason Fischer,24967.61,17,187,1468.68
CUST0637,Jennifer Dodson,24906.12,12,835,2075.51
CUST0679,Scott Lester,24898.62,15,49,1659.91
CUST0459,Daniel Jackson,24896.1,13,1057,1915.08
CUST0387,Tina Villa,24809.75,11,548,2255.43
CUST0824,Kimberly Mcdonald,24703.95,15,894,1646.93
CUST0783,Ariana Harper,24203.19,15,709,1613.55
CUST0186,Rebecca Phelps,24187.28,16,528,1511.71
CUST0105,Jesse Clark,24134.73,17,460,1419.69
CUST0523,John Li,24131.81,17,325,1419.52
CUST0159,Sherry Schwartz,24004.09,14,318,1714.58
CUST0276,Joshua Hernandez,24003.26,13,508,1846.4
CUST0801,James Garrett,23978.72,15,960,1598.58
CUST0843,Frank Daniels,23820.56,13,624,1832.35
CUST0902,Maria Delacruz,23817.18,14,938,1701.23
CUST0361,Darius Fry,23769.94,15,592,1584.66
CUST0247,Ian Morgan,23727.34,14,247,1694.81
CUST0464,Tanner Rodriguez,23643.37,10,630,2364.34
