customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Jean,Gamble,qthompson@example.org,936-423-2748x70501,2023-05-21,West Evanton,Washington,Seychelles,46-60
CUST0002,Jessica,Spencer,ann64@example.org,+1-590-490-5461x7260,2024-01-18,Michaelfort,Arkansas,Lesotho,36-45
CUST0003,Anna,James,sarahponce@example.net,985-714-4029x324,2023-09-29,Martinezshire,Maine,Myanmar,60+
CUST0004,Anita,English,bradley25@example.org,+1-845-350-2646,2024-05-06,Longton,Connecticut,Solomon Islands,36-45
CUST0005,Peter,Oneal,umorris@example.org,975-875-9075x232,2023-05-10,Paulside,North Dakota,Western Sahara,18-25
CUST0006,Steven,Kaiser,barbara63@example.org,+1-885-586-6346,2025-08-14,East Stacy,Virginia,Guinea,26-35
CUST0007,Maria,Nelson,connie01@example.net,483-472-4174x28581,2023-01-31,Murrayborough,Florida,Brunei Darussalam,18-25
CUST0008,William,Gonzalez,sandrawilliams@example.com,(667)220-6726x0389,2025-10-22,Gonzalezport,New Jersey,Pakistan,26-35
CUST0009,Adam,Aguilar,sdiaz@example.net,565-262-0262x0490,2023-12-07,West Tony,Delaware,Saint Vincent and the Grenadines,18-25
CUST0010,Sherri,Davis,garretthill@example.net,001-825-680-7750x23966,2023-07-24,North Kaylaside,Arizona,Mayotte,46-60
CUST0011,Brittany,Becker,angelagriffin@example.net,213-882-9753x08197,2025-11-19,Johnmouth,Arkansas,Ukraine,46-60
CUST0012,Brandon,Harris,annjones@example.net,471-471-4364,2024-05-21,East Royton,Virginia,Kiribati,60+
CUST0013,Larry,Humphrey,brittanywagner@example.org,7686147739,2024-07-07,Anthonychester,North Dakota,Sudan,36-45
CUST0014,Richard,Clark,jennifer08@example.com,+1-204-683-7013x39196,2024-11-18,South Nathanielmouth,Utah,Liberia,46-60
CUST0015,George,Snyder,hcooper@example.com,312.390.2646x032,2024-01-13,West Bryce,Michigan,Turkey,18-25
CUST0016,Andrea,Mooney,jjohnson@example.org,001-582-309-6391x831,2024-09-16,Ronaldview,Illinois,Kazakhstan,46-60
CUST0017,William,King,vyu@example.org,758.687.8922,2024-11-19,Barbarabury,Delaware,Cook Islands,46-60
CUST0018,Amanda,Hanson,vcooper@example.com,5669731733,2023-03-09,North Laurenshire,Maine,Saint Lucia,36-45
CUST0019,Daniel,Wilson,chaveznathan@example.com,+1-422-658-5921x618,2024-09-12,Davidport,New Mexico,Tajikistan,18-25
CUST0020,Kelly,Martinez,barnescharles@example.org,7082755207,2023-08-25,Port Andreside,Arkansas,Timor-Leste,18-25
CUST0021,Marcus,Stone,christopher15@example.com,+1-386-250-3913x19685,2023-01-09,Timothybury,Alaska,Tunisia,60+
CUST0022,Sean,Guerrero,landrews@example.com,3988096613,2024-08-08,Lake Brian,Colorado,Zambia,18-25
CUST0023,Andrew,Baker,aross@example.com,2042908012,2025-09-27,West Samuelfurt,Alabama,Nepal,26-35
CUST0024,Justin,Mccormick,xford@example.net,001-656-566-6988,2024-02-29,Robertberg,Oklahoma,Antigua and Barbuda,36-45
CUST0025,James,Rose,pkhan@example.com,+1-674-508-5284x85423,2023-01-13,North Samantha,Alaska,Northern Mariana Islands,36-45
CUST0026,Richard,Johnson,broberts@example.org,982.583.4918x133,2025-02-11,New Stephen,Colorado,Lesotho,36-45
CUST0027,Christina,Campbell,frederick08@example.net,5417589991,2025-03-04,Port Jamesburgh,Oklahoma,Lebanon,36-45
CUST0028,David,Hicks,nsantana@example.com,813.258.8445x98141,2023-09-14,Frenchport,Iowa,Mali,18-25
CUST0029,Cheryl,Donovan,rickey46@example.com,(651)211-3571x079,2023-11-17,Janiceton,Alaska,South Georgia and the South Sandwich Islands,18-25
CUST0030,Laura,Smith,benjamin08@example.net,851-413-5321,2023-04-17,Nicholsbury,Massachusetts,Ecuador,26-35
CUST0031,Frank,Stuart,solomonsamuel@example.net,(415)926-4280,2023-10-12,West Pamela,Indiana,Monaco,18-25
CUST0032,Brandon,Woodward,melissa83@example.com,812-730-0983x5876,2023-06-23,Terriburgh,Arizona,Montenegro,60+
CUST0033,Ellen,Daniel,etorres@example.org,+1-837-388-1417x826,2023-08-02,New Caitlin,Florida,Qatar,36-45
CUST0034,Mark,Black,freyes@example.net,888.502.8183,2025-01-28,Chapmanport,Arizona,Guernsey,18-25
CUST0035,Karen,Powell,caleblarson@example.org,+1-658-547-1293x776,2024-02-13,Samanthamouth,Arizona,Vanuatu,36-45
CUST0036,Jasmine,Guerra,charleslawrence@example.org,+1-831-667-4381,2023-02-13,East Michelle,Maryland,Greenland,18-25
CUST0037,John,Ortiz,ashleymendez@example.com,(597)965-8419x7674,2023-03-29,Andrewstad,Vermont,Taiwan,18-25
